istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
196,204,0.6157521601035995,0.6408849013323178,5.876229456043431e-07,2.1553686576464664e-09,1.283281481079257e-09,0.025132741228718336,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
215,226,0.6754424205218056,0.7099999397112933,5.684777318347077e-06,2.126322477538866e-09,1.2653865955059018e-08,0.034557519189487684,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
365,378,1.1466813185602747,1.1875220230569419,3.860323677440467e-06,2.429837410125942e-09,7.159149051361169e-09,0.04084070449666721,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
510,518,1.6022122533307945,1.6273449945595129,5.729751970740094e-07,2.2312669407782003e-09,1.184960352063058e-09,0.025132741228718336,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
563,572,1.7687166639710536,1.7969909978533618,1.6667235574226947e-06,2.145754402937569e-09,3.6545690917932916e-09,0.028274333882308156,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
819,829,2.572964383290041,2.6043803098259386,1.79099623387859e-06,2.5784108421499388e-09,3.054157593496143e-09,0.031415926535897754,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
844,854,2.6515041996297857,2.6829201261656834,8.892068850181179e-07,2.2885720569257855e-09,1.7785197758968252e-09,0.031415926535897754,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
877,885,2.7551767571982486,2.780309498426967,7.031204373420723e-07,2.1940621037934003e-09,1.4944980808451191e-09,0.025132741228718558,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
922,931,2.8965484266097894,2.9248227604920976,1.214687301958937e-06,2.4475343095410906e-09,2.138747401403407e-09,0.028274333882308156,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
1004,1015,3.1541590242041524,3.18871654339364,1.0667861703009812e-06,2.447764688370883e-09,1.9566011033589348e-09,0.034557519189487795,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
1446,1455,4.542742977090841,4.571017310973149,1.919595961109046e-06,2.1335417232382598e-09,4.249240737053128e-09,0.028274333882308156,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
1535,1544,4.822344723260333,4.850619057142641,5.349080712467705e-07,2.740131035868781e-09,8.22269363709438e-10,0.028274333882308156,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
1552,1565,4.875751798371359,4.916592502868027,3.754679245675641e-06,3.165596118805657e-09,3.91790955234228e-09,0.040840704496667435,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
1659,1669,5.211902212305467,5.243318138841365,9.042918950657518e-07,2.250928968282215e-09,1.8377466215468985e-09,0.03141592653589864,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
1746,1757,5.485220773167779,5.519778292357267,1.1013109052698236e-06,1.9953429374915786e-09,2.6651456597193146e-09,0.03455751918948824,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
1789,1799,5.62030925727214,5.651725183808038,6.73484412704099e-07,2.7995157086587825e-09,8.165830234219129e-10,0.031415926535897754,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
1858,1867,5.837079150369836,5.865353484252144,1.1910713227226174e-06,2.019401228497748e-09,2.8281441633026816e-09,0.028274333882308156,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
1875,1886,5.8904862254808625,5.92504374467035,1.934415239105288e-06,2.2140201617704304e-09,4.083859472814311e-09,0.03455751918948735,2000.0,73.55261054231127,-20.513603348470706,1,19.0,,,-2.0922870558792503,,,35.61841747803519,,
